Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate
19217,Simultaneous Contrasts: Sun and Moon,Robert Delaunay,1479.0,Paris 1913 (dated on painting 1912),Oil on canvas,"53"" (134.5 cm) in diameter",Mrs. Simon Guggenheim Fund,1.1954,Painting,Painting & Sculpture,1954-01-12,Y,78302,,,134.6,,,,,,"French, 1885–1941",French,Male,1885.0,1941.0
19218,The Flame and the Diver,Jean Bazaine,404.0,1953,Oil on canvas,"76 3/4 x 51"" (194.9 x 129.5 cm)",Given anonymously,1.1957,Painting,Painting & Sculpture,1957-02-27,Y,78303,,,,194.9,,,129.5,,"French, 1904–2001",French,Male,1904.0,2001.0
19219,Girl Wading,Elmer Bischoff,567.0,1959,Oil on canvas,"6' 10 5/8"" x 67 3/4"" (209.8 x 172 cm)",Blanchette Hooker Rockefeller Fund,1.1960,Painting,Painting & Sculpture,1960-02-10,Y,78305,,,,209.8,,,172.0,,"American, 1916–1991",American,Male,1916.0,1991.0
19220,"Painting, 4",Vasudeo S. Gaitonde,2051.0,1962,Oil on canvas,"40 x 49 7/8"" (101.6 x 126.6 cm)",Gift of Mrs. Joseph James Akston,1.1963,Painting,Painting & Sculpture,1963-01-08,Y,78306,,,,101.6,,,126.6,,"Indian, 1924–2001",Indian,Male,1924.0,2001.0
19221,The Voice,Barnett Newman,4285.0,1950,Egg tempera and enamel on canvas,"8' 1/8"" x 8' 9 1/2"" (244.1 x 268 cm)",The Sidney and Harriet Janis Collection,1.1968,Painting,Painting & Sculpture,1968-01-10,Y,78308,,,,244.1,,,268.0,,"American, 1905–1970",American,Male,1905.0,1970.0
19222,Plums on a Plate,Preston Dickinson,1537.0,1926,Oil on canvas,"14 x 20"" (35.6 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,2.1931,Painting,Painting & Sculpture,1931-03-11,Y,78309,,,,35.6,,,50.8,,"American, 1889–1930",American,Male,1889.0,1930.0
19223,"Composition in White, Black, and Red",Piet Mondrian,4057.0,Paris 1936,Oil on canvas,"40 1/4 x 41"" (102.2 x 104.1 cm)",Gift of the Advisory Committee,2.1937,Painting,Painting & Sculpture,1937-01-15,Y,78310,,,,102.2,,,104.1,,"Dutch, 1872–1944",Dutch,Male,1872.0,1944.0
19224,Girl before a Mirror,Pablo Picasso,4609.0,"Paris, March 14, 1932",Oil on canvas,"64 x 51 1/4"" (162.3 x 130.2 cm)",Gift of Mrs. Simon Guggenheim,2.1938,Painting,Painting & Sculpture,1937-12-17,Y,78311,,,,162.3,,,130.2,,"Spanish, 1881–1973",Spanish,Male,1881.0,1973.0
19225,Transparency,James Edward Davis,1408.0,1944,"Pigment on cellulose acetate on plywood panel, two sheets","Each 14 x 20 1/8"" (35.6 x 51.1 cm), plywood panel 20 x 30"" (50.8 x 76.2 cm)",Purchase,2.1945,Painting,Painting & Sculpture,1945-01-03,Y,78313,,,,35.6,,,51.1,,"American, 1901–1974",American,Male,1901.0,1974.0
19226,Woman with a Mandolin,Georges Braque,744.0,1937,Oil on canvas,"51 1/4 x 38 1/4"" (130.2 x 97.2 cm)",Mrs. Simon Guggenheim Fund,2.1948,Painting,Painting & Sculpture,1948-03-17,Y,78315,,,,130.2,,,97.2,,"French, 1882–1963",French,Male,1882.0,1963.0
19227,The Fitting,Francisco Borès,678.0,1934,Oil on canvas,"6' 3/4"" x 7' 2 3/4"" (184.8 x 220.4 cm)",Purchase,2.1949,Painting,Painting & Sculpture,1949-02-03,Y,78316,,,,184.8,,,220.4,,"Spanish, 1898–1972",Spanish,Male,1898.0,1972.0
19228,Murder in the Jungle,Wilson Bigaud,557.0,1950,Oil on board,"23 7/8 x 29 3/4"" (60.6 x 75.6 cm)",Inter-American Fund,2.1951,Painting,Painting & Sculpture,1951-01-30,Y,78318,,,,60.6,,,75.6,,"Haitian, 1931–2010",Haitian,Male,1931.0,2010.0
19229,Chief,Franz Kline,3148.0,1950,Oil on canvas,"58 3/8"" x 6' 1 1/2"" (148.3 x 186.7 cm)",Gift of Mr. and Mrs. David M. Solinger,2.1952,Painting,Painting & Sculpture,1951-01-22,Y,78319,,,,148.3,,,186.7,,"American, 1910–1962",American,Male,1910.0,1962.0
19230,Panel for Edwin R. Campbell No. 3,Vasily Kandinsky,2981.0,1914,Oil on canvas,"64 x 36 1/4"" (162.5 x 92.1 cm)",Mrs. Simon Guggenheim Fund,2.1954,Painting,Painting & Sculpture,1954-01-12,Y,78320,,,,162.5,,,92.1,,"French, born Russia. 1866–1944",French,Male,1866.0,1944.0
19231,Delight,Hans Hofmann,2698.0,1947,Gesso and oil on canvas,"50 x 40"" (126.9 x 101.6 cm)",Gift of Mr. and Mrs. Theodore S. Gary,2.1956,Painting,Painting & Sculpture,1956-01-23,Y,78322,,,,126.9,,,101.6,,"American, born Germany. 1880–1966",American,Male,1880.0,1966.0
19232,Portrait of Meijer de Haan,Paul Gauguin,2098.0,1889,Oil on wood,"31 3/8 x 20 3/8"" (79.6 x 51.7 cm)",Gift of Mr. and Mrs. David Rockefeller,2.1958,Painting,Painting & Sculpture,1958-02-19,Y,78323,,,,79.6,,,51.7,,"French, 1848–1903",French,Male,1848.0,1903.0
19233,Nell and Jeremy Sandford,John Randall Bratby,746.0,"June 13-27, 1957",Oil on board,"6' 5 7/8"" x 7' 8 1/8"" (197.7 x 234 cm)",Gift of Mr. and Mrs. Robert W. Dowling,2.1959,Painting,Painting & Sculpture,1959-03-02,Y,78324,,,,197.7,,,234.0,,"British, 1928–1992",British,Male,1928.0,1992.0
19234,Plumb Line in Yellow,Jean McEwen,3880.0,"September 9, 1961",Oil on canvas,"60 1/4 x 60 1/8"" (152.8 x 152.7 cm)",Gift of Mr. and Mrs. Samuel J. Zacks,2.1962,Painting,Painting & Sculpture,1962-01-09,Y,78325,,,,152.8,,,152.7,,"Canadian, 1923–1999",Canadian,Male,1923.0,1999.0
19235,Woman in Striped Dress,James Francis Gill,2159.0,1962,Color crayon on gesso on board,"40 x 30"" (101.4 x 76.2 cm)",Larry Aldrich Foundation Fund,2.1963,Painting,Painting & Sculpture,1963-01-08,Y,78326,,,,101.4,,,76.2,,"American, born 1934",American,Male,1934.0,0.0
19236,Small Figure on Blue,Michael Gross,2365.0,1964,Casein on board,"19 3/4 x 15 7/8"" (50.1 x 40.3 cm)",Gift of Mr. and Mrs. George M. Jaffin,2.1965,Painting,Painting & Sculpture,1965-01-12,Y,78327,,,,50.1,,,40.3,,"Israeli, 1920–2004",Israeli,Male,1920.0,2004.0
19237,Red and Blue,Check  Boterf,692.0,1968,"Synthetic polymer paint on shaped canvas, in three parts","7' 3"" x 46 1/2"" x 38 1/8"" (220.9 x 118 x 96.8 cm)",Gift of the Tibor de Nagy Gallery,2.1969.a-c,Painting,Painting & Sculpture,1969-01-07,Y,78328,,96.8,,220.9,,,118.0,,"American, born 1934",American,Male,1934.0,0.0
19238,White #19,Glenn Ligon,6902.0,1994,"Oilstick, gesso, and acrylic on canvas mounted on wood","7' x 60"" (213.3 x 152.4 cm)",Committee on Painting and Sculpture Funds,2.1996,Painting,Painting & Sculpture,1996-03-11,Y,78329,,,,213.4,,,152.4,,"American, born 1960",American,Male,1960.0,0.0
19239,House by the Railroad,Edward Hopper,2726.0,1925,Oil on canvas,"24 x 29"" (61 x 73.7 cm)",Given anonymously,3.1930,Painting,Painting & Sculpture,1930-01-12,Y,78330,,,,61.0,,,73.7,,"American, 1882–1967",American,Male,1882.0,1967.0
19240,Dr. Mayer-Hermann,Otto Dix,1559.0,Berlin 1926,Oil and tempera on wood,"58 3/4 x 39"" (149.2 x 99.1 cm)",Gift of Philip Johnson,3.1932,Painting,Painting & Sculpture,1932-06-08,Y,78331,,,,149.2,,,99.0601981204,,"German, 1891–1969",German,Male,1891.0,1969.0
19241,Near Avenue A,Niles Spencer,5561.0,1933,Oil on canvas,"30 1/4 x 40 1/4"" (76.8 x 102.2 cm)",Gift of Nelson A. Rockefeller,3.1938,Painting,Painting & Sculpture,1937-12-03,Y,78332,,,,76.8,,,102.2,,"American, 1893–1952",American,Male,1893.0,1952.0
19242,Self-Portrait with Cropped Hair,Frida Kahlo,2963.0,1940,Oil on canvas,"15 3/4 x 11"" (40 x 27.9 cm)","Gift of Edgar Kaufmann, Jr.",3.1943,Painting,Painting & Sculpture,1943-02-18,Y,78333,,,,40.0,,,27.9,,"Mexican, 1907–1954",Mexican,Female,1907.0,1954.0
19243,Panel for Edwin R. Campbell No. 1,Vasily Kandinsky,2981.0,1914,Oil on canvas,"64 x 31 1/2"" (162.5 x 80 cm)",Mrs. Simon Guggenheim Fund,3.1954,Painting,Painting & Sculpture,1954-01-12,Y,78335,,,,162.5,,,80.0,,"French, born Russia. 1866–1944",French,Male,1866.0,1944.0
19244,"SUM, 2",Alfonso Ossorio,4441.0,1959,"Synthetic resin with nails, coins, steel wool, tooth, rope, screw eyes, shells, belt, key, and hinges on board","7' 11 3/4"" x 48"" (243.2 x 121.8 cm)",Given anonymously,3.1962,Painting,Painting & Sculpture,1961-01-09,Y,78338,,,,243.2,,,121.8,,"American, born The Philipines. 1916–1990",American,Male,1916.0,1990.0
19245,Poltergeist,Charles Hinman,2658.0,1964,Synthetic polymer paint on shaped canvas over wood framework,"8' 2 3/4"" x 61 7/8"" x 16 3/8"" (250.7 x 156.9 x 41.5 cm)",Larry Aldrich Foundation Fund,3.1965,Painting,Painting & Sculpture,1965-01-12,Y,78339,,41.5,,250.7,,,156.9,,"American, born 1932",American,Male,1932.0,0.0
19246,"Generative Painting: Black, Red, Orange",Eduardo A. MacEntyre,3664.0,1965,Oil on canvas,"64 3/4 x 59"" (164.9 x 150.4 cm)",Inter-American Fund,3.1967,Painting,Painting & Sculpture,1967-02-09,Y,78340,,,,164.9,,,150.4,,"Argentine, 1929–2014",Argentine,Male,1929.0,2014.0
19247,Doorstop,James Rosenquist,5021.0,1963,Oil on canvas with light bulbs,"60 1/8"" x 6' 11 7/8"" x 16 3/4""  (152.6 x 213 x 42.5 cm)",Mrs. Armand P. Bartos Fund (by exchange) and gift of Agnes Gund,3.1996,Painting,Painting & Sculpture,1996-03-11,Y,78342,,42.5,,152.7,,,213.0,,"American, 1933–2017",American,Male,1933.0,2017.0
19248,Proletarian Victim,David Alfaro Siqueiros,5454.0,1933,Enamel on burlap,"6' 9"" x 47 1/2"" (205.8 x 120.6 cm)",Gift of the Estate of George Gershwin,4.1938,Painting,Painting & Sculpture,1938-02-17,Y,78345,,,,205.8,,,120.6,,"Mexican, 1896–1974",Mexican,Male,1896.0,1974.0
19249,Green-Gray Goblet,Emilio Pettoruti,4588.0,1934,Oil on canvas,"21 5/8 x 18 1/8"" (54.9 x 46 cm)",Inter-American Fund,4.1943,Painting,Painting & Sculpture,1943-02-18,Y,78346,,,,54.9,,,46.0,,"Argentine, 1892–1971",Argentine,Male,1892.0,1971.0
19250,Red Votive Lights,Loren MacIver,3668.0,1943,Oil on wood,"20 x 25 5/8"" (50.8 x 65.1 cm)",James Thrall Soby Fund,4.1945,Painting,Painting & Sculpture,1945-01-03,Y,78347,,,,50.8,,,65.1,,"American, 1909–1998",American,Female,1909.0,1998.0
19251,I See Again in Memory My Dear Udnie,Francis Picabia,4607.0,"Paris, June - July 1914",Oil on canvas,"8' 2 1/2"" x 6' 6 1/4"" (250.2 x 198.8 cm)",Hillman Periodicals Fund,4.1954,Painting,Painting & Sculpture,1954-01-12,Y,78348,,,,250.2,,,198.8,,"French, 1879–1953",French,Male,1879.0,1953.0
19252,Number 5-58,Nassos Daphnis,1385.0,1958,Synthetic polymer paint on canvas,"64 1/8 x 43"" (162.7 x 109.2 cm)",Blanchette Hooker Rockefeller Fund,4.1959,Painting,Painting & Sculpture,1959-03-02,Y,78349,,,,162.7,,,109.2,,"American, born Greece. 1914–2010",American,Male,1914.0,2010.0
19253,Divided Hour,Antonio Corpora,1254.0,1958,Oil on canvas,"57 1/2 x 44 7/8"" (145.9 x 113.8 cm)",Given anonymously,4.1960,Painting,Painting & Sculpture,1960-02-10,Y,78350,,,,145.9,,,113.8,,"Italian, born Tunis. 1909–2004",Italian,Male,1909.0,2004.0
19254,Edge of August,Mark Tobey,5889.0,1953,Casein on board,"48 x 28"" (121.9 x 71.1 cm)",Purchase,5.1954,Painting,Painting & Sculpture,1954-01-12,Y,78357,,,,121.9,,,71.1,,"American, 1890–1976",American,Male,1890.0,1976.0
19255,Enamored Tomcat,Leonardo Cremonini,1303.0,1952,Oil on canvas,"23 1/8 x 17 3/4"" (58.7 x 45.1 cm)",Purchase,5.1955,Painting,Painting & Sculpture,1955-04-06,Y,78358,,,,58.7,,,45.1,,"Italian, 1925–2010",Italian,Male,1925.0,2010.0
19256,Big Red,Sam Francis,1965.0,Paris 1953,Oil on canvas,"10' x 6' 4 1/4"" (303.2 x 194 cm)",Gift of Mr. and Mrs. David Rockefeller,5.1958,Painting,Painting & Sculpture,1958-02-19,Y,78360,,,,303.2,,,194.0,,"American, 1923–1994",American,Male,1923.0,1994.0
19257,The Tree,Agnes Martin,3787.0,1964,Oil and pencil on canvas,6 x 6' (182.8 x 182.8 cm),Larry Aldrich Foundation Fund,5.1965,Painting,Painting & Sculpture,1965-01-12,Y,78361,,,,182.8,,,182.8,,"American, born Canada. 1912–2004",American,Female,1912.0,2004.0
19258,Turnsole,Kenneth Noland,4326.0,1961,Synthetic polymer paint on canvas,"7' 10 1/8"" x 7' 10 1/8"" (239 x 239 cm)",Blanchette Hooker Rockefeller Fund,5.1968,Painting,Painting & Sculpture,1968-01-10,Y,78362,,,,239.0,,,239.0,,"American, 1924–2010",American,Male,1924.0,2010.0
19259,Untitled,Cy Twombly,5988.0,1968,Oil-based house paint and crayon on canvas,"68 1/8"" x 7' 3 1/8"" (172.8 x 216 cm)",Gift of Barbara Jakobson and John R. Jakobson,5.1969,Painting,Painting & Sculpture,1969-01-07,Y,78363,,,,172.8,,,216.0,,"American, 1928–2011",American,Male,1928.0,2011.0
19260,Achrome,Piero Manzoni,3741.0,1960,Kaolin on canvas,"16 1/8 x 24"" (41 x 61 cm)",Committee on Painting and Sculpture Funds,5.1999,Painting,Painting & Sculpture,1999-02-08,Y,78364,,,,41.0,,,61.0,,"Italian, 1933–1963",Italian,Male,1933.0,1963.0
19261,Homestead,Thomas Hart Benton,483.0,1934,Tempera and oil on board,"25 x 34"" (63.5 x 86.4 cm)",Gift of Marshall Field (by exchange),6.1938,Painting,Painting & Sculpture,1938-02-17,Y,78365,,,,63.5,,,86.4,,"American, 1889–1975",American,Male,1889.0,1975.0
19262,Self-Portrait,John Kane,2982.0,1929,Oil on canvas over board,"36 1/8 x 27 1/8"" (91.8 x 68.9 cm)",Abby Aldrich Rockefeller Fund,6.1939,Painting,Painting & Sculpture,1939-01-06,Y,78366,,,,91.8,,,68.9,,"American, born Scotland. 1860–1934",American,Male,1860.0,1934.0
19263,Departure,Max Beckmann,429.0,"Frankfurt 1932, Berlin 1933-35","Oil on canvas, three panels","Side panels 7' 3/4"" x 39 1/4"" (215.3 x 99.7 cm), center panel 7' 3/4"" x 45 3/8"" (215.3 x 115.2 cm)",Given anonymously (by exchange),6.1942.a-c,Painting,Painting & Sculpture,1942-01-27,Y,78367,,,,215.3,,,115.3,,"German, 1884–1950",German,Male,1884.0,1950.0
19264,The New Rich,Antonio Ruiz,5078.0,1941,Oil on canvas,"12 5/8 x 16 5/8"" (32.1 x 42.2 cm)",Inter-American Fund,6.1943,Painting,Painting & Sculpture,1943-02-18,Y,78368,,,,32.1,,,42.2,,"Mexican, 1897–1964",Mexican,Male,1897.0,1964.0
19265,The Angel Kidnappers,Julio Castellanos,1026.0,1943,Oil on canvas,"22 5/8 x 37 3/8"" (57.5 x 94.9 cm)",Inter-American Fund,6.1944,Painting,Painting & Sculpture,1944-03-14,Y,78369,,,,57.5,,,94.9,,"Mexican, 1905–1947",Mexican,Male,1905.0,1947.0
19266,Execution (First Version),Balcomb Greene,2321.0,1948,Oil on canvas,"39 7/8 x 29 7/8"" (101.3 x 75.9 cm)",Katharine Cornell Fund,6.1950,Painting,Painting & Sculpture,1950-01-06,Y,78370,,,,101.3,,,75.9,,"American, 1904–1990",American,Male,1904.0,1990.0
19267,L'Estaque,André Derain,1500.0,1906,Oil on canvas,"13 7/8 x 17 3/4"" (35.3 x 45.1 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),6.1951,Painting,Painting & Sculpture,1951-01-30,Y,78371,,,,35.3,,,45.1,,"French, 1880–1954",French,Male,1880.0,1954.0
19268,"Blast, I",Adolph Gottlieb,2268.0,1957,Oil on canvas,"7' 6"" x 45 1/8"" (228.7 x 114.4 cm)",Philip Johnson Fund,6.1958,Painting,Painting & Sculpture,1958-02-19,Y,78373,,,,228.7,,,114.4,,"American, 1903–1974",American,Male,1903.0,1974.0
19269,First Theme,Burgoyne Diller,1546.0,1942,Oli on canvas,"42 x 42"" (106.6 x 106.6 cm)",Gift of Silvia Pizitz,6.1959,Painting,Painting & Sculpture,1958-10-29,Y,78374,,,,106.6,,,106.6,,"American, 1906–1965",American,Male,1906.0,1965.0
19270,Shinnecock Canal,Grace Hartigan,2520.0,1957,Oil on canvas,"7' 6 1/2"" x 6' 4"" (229.8 x 193 cm)",Gift of James Thrall Soby,6.1960,Painting,Painting & Sculpture,1960-02-10,Y,78375,,,,229.8,,,193.0,,"American, 1922–2008",American,Female,1922.0,2008.0
19271,Shimmering Substance,Jackson Pollock,4675.0,1946,Oil on canvas,"30 1/8 x 24 1/4"" (76.3 x 61.6 cm)",Mr. and Mrs. Albert Lewin and Mrs. Sam A. Lewisohn Funds,6.1968,Painting,Painting & Sculpture,1968-01-10,Y,78376,,,,76.3,,,61.6,,"American, 1912–1956",American,Male,1912.0,1956.0
19272,Pettys Bright,Larry Zox,6586.0,1968,Synthetic polymer paint on canvas,"6' 6"" x 11' 11 3/4"" (198.1 x 364.6 cm)",Gift of Charles and Anita Blatt,6.1969,Painting,Painting & Sculpture,1969-01-07,Y,78377,,,,198.1,,,364.6,,"American, 1936–2006",American,Male,1936.0,2006.0
19273,The Bride,Hyman Bloom,609.0,1941,Oil on canvas,"20 1/8 x 49 7/8"" (51.1 x 126.7 cm)",Purchase,7.1942,Painting,Painting & Sculpture,1942-01-27,Y,78379,,,,51.1,,,126.7,,"American, born Latvia. 1913–2009",American,Male,1913.0,2009.0
19274,Still Life,Henri Matisse,3832.0,"Paris, early 1899",Oil on canvas,"18 1/8 x 15"" (46 x 38.1 cm)",Gift of A. Conger Goodyear,7.1949,Painting,Painting & Sculpture,1949-02-03,Y,78380,,,,46.0,,,38.1,,"French, 1869–1954",French,Male,1869.0,1954.0
19275,Rainbow Rampage,Lee Gatch,2092.0,1950,Oil on canvas,"28 x 40"" (71.1 x 101.6 cm)",Gift of Mr. and Mrs. Roy R. Neuberger,7.1951,Painting,Painting & Sculpture,1951-01-30,Y,78381,,,,71.1,,,101.6,,"American, 1902–1968",American,Male,1902.0,1968.0
19276,Street Light,Giacomo Balla,311.0,c. 1910-11 (dated on painting 1909),Oil on canvas,"68 3/4 x 45 1/4"" (174.7 x 114.7 cm)",Hillman Periodicals Fund,7.1954,Painting,Painting & Sculpture,1954-04-06,Y,78382,,,,174.7,,,114.7,,"Italian, 1871–1958",Italian,Male,1871.0,1958.0
19277,Painting,Philip Guston,2419.0,1954,Oil on canvas,"63 1/4 x 60 1/8"" (160.6 x 152.7 cm)",Philip Johnson Fund,7.1956,Painting,Painting & Sculpture,1956-06-06,Y,78383,,,,160.6,,,152.7,,"American, born Canada. 1913–1980",American,Male,1913.0,1980.0
19278,Construction,Richard Lindner,3559.0,1962,"Plastic mask, printed paper and cloth on painted wood panel","11 7/8 x 13 x 3 3/4"" (29.9 x 33 x 9.5 cm)",Philip Johnson Fund,7.1963,Painting,Painting & Sculpture,1963-01-08,Y,78384,,9.5,,29.9,,,33.0,,"American, born Germany. 1901–1978",American,Male,1901.0,1978.0
19279,The Mosque,Ibrahim El-Salahi,5121.0,1964,Oil on canvas,"12 1/8 x 18 1/8"" (30.7 x 46 cm)",Elizabeth Bliss Parkinson Fund,7.1965,Painting,Painting & Sculpture,1965-01-12,Y,78385,,,,30.7,,,46.0,,"Sudanese, born 1930",Sudanese,Male,1930.0,0.0
19280,"One: Number 31, 1950",Jackson Pollock,4675.0,1950,Oil and enamel paint on canvas,"8' 10"" x 17' 5 5/8"" (269.5 x 530.8 cm)",Sidney and Harriet Janis Collection Fund (by exchange).  Conservation was made possible by the Bank of America Art Conservation Project,7.1968,Painting,Painting & Sculpture,1968-01-10,Y,78386,,,,269.5,,,530.8,,"American, 1912–1956",American,Male,1912.0,1956.0
19281,Soda,Georges Braque,744.0,"Paris, spring 1912",Oil on canvas,"14 1/4"" (36.2 cm) in diameter",Acquired through the Lillie P. Bliss Bequest (by exchange),8.1942,Painting,Painting & Sculpture,1942-01-27,Y,78387,,,,36.2,,,,,"French, 1882–1963",French,Male,1882.0,1963.0
19282,The Red Studio,Henri Matisse,3832.0,"Issy-les-Moulineaux, fall 1911",Oil on canvas,"71 1/4"" x 7' 2 1/4"" (181 x 219.1 cm)",Mrs. Simon Guggenheim Fund,8.1949,Painting,Painting & Sculpture,1949-02-03,Y,78389,,,,181.0,,,219.1,,"French, 1869–1954",French,Male,1869.0,1954.0
19283,"Family Portrait, II",Florine Stettheimer,5657.0,1933,Oil on canvas,"46 1/4 x 64 5/8"" (117.4 x 164 cm)",Gift of Miss Ettie Stettheimer,8.1956,Painting,Painting & Sculpture,1956-10-09,Y,78392,,,,117.4,,,164.0,,"American, 1871–1944",American,Female,1871.0,1944.0
19284,Target with Four Faces,Jasper Johns,2923.0,1955,Encaustic on newspaper and cloth over canvas surmounted by four tinted-plaster faces in wood box with hinged front,"Overall, with box open, 33 5/8 x 26 x 3"" (85.3 x 66 x 7.6 cm); canvas 26 x 26"" (66 x 66 cm); box (closed) 3 3/4 x 26 x 3 1/2"" (9.5 x 66 x 8.8 cm)",Gift of Mr. and Mrs. Robert C. Scull,8.1958,Painting,Painting & Sculpture,1958-02-19,Y,78393,,,,66.0,,,66.0,,"American, born 1930",American,Male,1930.0,0.0
19285,"Hudson River School Series, 32",James Jarvaise,2894.0,1957,Oil on board,"60 1/8 x 48"" (152.5 x 121.9 cm)",Larry Aldrich Foundation Fund,8.1960,Painting,Painting & Sculpture,1960-02-10,Y,78394,,,,152.5,,,121.9,,"American, born 1925",American,Male,1925.0,2015.0
19286,The Yellow Star,Carl-Henning Pedersen,4535.0,1952,Oil and pencil on canvas,"48 7/8 x 40 1/2"" (124 x 102.8 cm)",Gift of G. David Thompson,8.1961,Painting,Painting & Sculpture,1961-01-10,Y,78395,,,,124.0,,,102.8,,"Danish, 1913–1993",Danish,Male,1913.0,1993.0
19287,B-171,Tadasky (Tadasuke Kuwayama),5776.0,1964,Synthetic polymer paint on canvas,"15 1/8 x 15 1/8"" (38.4 x 38.4 cm)",Given anonymously,8.1965,Painting,Painting & Sculpture,1965-01-12,Y,78396,,,,38.4,,,38.4,,"American, born Japan 1935",Japanese,Male,1935.0,0.0
19288,Visa,Stuart Davis,1412.0,1951,Oil on canvas,"40 x 52"" (101.6 x 132.1 cm)",Gift of Mrs. Gertrud A. Mellon,9.1953,Painting,Painting & Sculpture,1953-01-30,Y,78397,,,,101.6,,,132.1,,"American, 1892–1964",American,Male,1892.0,1964.0
